,R_fighter,B_fighter,win_by,last_round,date,location,Fight_type,Winner,indexfighter1,Agefighter1,weight_classfighter1,height_cmfighter1,reach_cmfighter1,ape_indexfighter1,Number_of_fightsfighter1,win_percentagefighter1,O_SLpMfighter1,O_StrPctfighter1,D_SApMfighter1,D_StrPctfighter1,O_TdAvgfighter1,O_TdAccfighter1,O_SubAvgfighter1,D_TdPctfighter1,weightfighter1,indexfighter2,Agefighter2,weight_classfighter2,height_cmfighter2,reach_cmfighter2,ape_indexfighter2,Number_of_fightsfighter2,win_percentagefighter2,O_SLpMfighter2,O_StrPctfighter2,D_SApMfighter2,D_StrPctfighter2,O_TdAvgfighter2,O_TdAccfighter2,O_SubAvgfighter2,D_TdPctfighter2,weightfighter2
735,Raphael Pessoa,Ciryl Gane,Submission,1,"August 10, 2019","Montevideo, Uruguay",Heavyweight Bout,0,725,32,Heavyweight 265 lb,190.0,198.0,1.0421052631578946,12,0.8333333333333334,2.16,0.26,3.43,0.42,0.0,0.0,0.0,1.0,262,2484,31,Heavyweight 265 lb,193.0,206.0,1.067357512953368,11,0.9090909090909092,4.83,0.58,2.27,0.62,0.69,0.22,0.6,0.55,245
736,Enrique Barzola,Bobby Moffett,Decision - Split,3,"August 10, 2019","Montevideo, Uruguay",Featherweight Bout,1,1871,32,Featherweight 145 lb,170.0,178.0,1.0470588235294118,24,0.7083333333333334,3.91,0.41,2.97,0.68,4.2,0.45,0.3,0.66,145,315,31,Featherweight 145 lb,178.0,185.0,1.0393258426966292,18,0.7222222222222222,3.41,0.39,3.15,0.61,2.74,0.66,1.4,0.66,145
737,Rodolfo Vieira,Oskar Piechota,Submission,2,"August 10, 2019","Montevideo, Uruguay",Middleweight Bout,1,1370,32,Middleweight 185 lb,183.0,185.0,1.010928961748634,9,0.8888888888888888,2.6,0.49,4.04,0.57,5.77,0.52,1.4,1.0,185,702,32,Middleweight 185 lb,183.0,193.0,1.0546448087431697,15,0.7333333333333333,3.3,0.52,3.93,0.51,0.61,0.4,1.5,0.38,185
738,Valentina Shevchenko,Liz Carmouche,Decision - Unanimous,5,"August 10, 2019","Montevideo, Uruguay",UFC Women's Flyweight Title Bout,1,1023,34,Flyweight 125 lb,165.0,168.0,1.018181818181818,25,0.88,3.21,0.52,1.87,0.64,2.62,0.64,0.3,0.77,125,2049,38,Flyweight 125 lb,168.0,168.0,1.0,20,0.65,2.78,0.54,2.51,0.61,2.57,0.51,0.3,0.65,125
739,Tecia Torres,Marina Rodriguez,Decision - Unanimous,3,"August 10, 2019","Montevideo, Uruguay",Women's Strawweight Bout,0,1268,32,Strawweight 115 lb,155.0,152.0,0.9806451612903224,18,0.7222222222222222,4.71,0.48,3.61,0.6,0.71,0.15,0.1,0.58,115,1034,34,Strawweight 115 lb,168.0,165.0,0.9821428571428572,18,0.8333333333333334,5.05,0.49,3.0,0.57,0.22,0.33,0.2,0.67,115
740,Rogerio Bontorin,Raulian Paiva,TKO - Doctor's Stoppage,1,"August 10, 2019","Montevideo, Uruguay",Flyweight Bout,1,1797,29,Flyweight 125 lb,165.0,170.0,1.0303030303030305,20,0.8,2.63,0.52,3.27,0.5,2.9,0.6,1.0,0.51,125,782,26,Bantamweight 135 lb,173.0,175.0,1.0115606936416186,25,0.84,4.13,0.42,5.11,0.48,0.58,0.23,0.2,0.75,135
741,Chris Gutierrez,Geraldo de Freitas,Decision - Split,3,"August 10, 2019","Montevideo, Uruguay",Bantamweight Bout,1,2346,30,Featherweight 145 lb,175.0,170.0,0.9714285714285714,22,0.7727272727272727,4.63,0.59,2.5,0.62,0.48,0.37,0.2,0.75,145,2172,30,Bantamweight 135 lb,170.0,183.0,1.076470588235294,18,0.6666666666666666,3.67,0.52,2.62,0.5,3.0,0.45,0.0,0.59,135
742,Polyana Viana,Veronica Macedo,Submission,1,"August 10, 2019","Montevideo, Uruguay",Women's Flyweight Bout,0,1375,29,Strawweight 115 lb,165.0,170.0,1.0303030303030305,16,0.75,3.71,0.41,3.01,0.54,1.12,0.33,3.4,0.5,115,508,26,Flyweight 125 lb,163.0,163.0,1.0,11,0.5454545454545454,3.13,0.39,5.06,0.43,0.57,0.18,0.6,0.46,125
743,Alex Da Silva,Kazula Vargas,Decision - Unanimous,3,"August 10, 2019","Montevideo, Uruguay",Lightweight Bout,1,2202,26,Lightweight 155 lb,173.0,185.0,1.069364161849711,24,0.875,2.07,0.46,2.65,0.55,2.75,0.43,0.4,0.77,155,1398,36,Lightweight 155 lb,173.0,180.0,1.0404624277456649,16,0.75,3.85,0.53,1.88,0.58,0.44,0.25,0.4,0.25,155
744,Joaquim Silva,Nasrat Haqparast,KO/TKO,2,"August 03, 2019","Newark, New Jersey, USA",Lightweight Bout,0,966,33,Lightweight 155 lb,173.0,175.0,1.0115606936416186,15,0.7333333333333333,3.9,0.37,4.55,0.56,0.23,0.5,0.7,0.64,155,2626,26,Lightweight 155 lb,178.0,183.0,1.0280898876404494,18,0.7222222222222222,5.17,0.45,4.7,0.66,0.13,0.14,0.0,0.78,155
745,Scott Holtzman,Dong Hyun Ma,TKO - Doctor's Stoppage,2,"August 03, 2019","Newark, New Jersey, USA",Lightweight Bout,1,2536,38,Lightweight 155 lb,175.0,175.0,1.0,19,0.7368421052631579,4.32,0.48,3.58,0.53,2.07,0.56,0.2,0.66,155,514,33,Lightweight 155 lb,180.0,178.0,0.9888888888888888,30,0.5333333333333333,2.84,0.41,4.1,0.54,1.27,0.53,0.0,0.33,155
746,Kennedy Nzechukwu,Darko Stosic,Decision - Unanimous,3,"August 03, 2019","Newark, New Jersey, USA",Light Heavyweight Bout,1,14,29,Light Heavyweight 205 lb,196.0,211.0,1.076530612244898,11,0.8181818181818182,4.86,0.42,5.04,0.49,0.0,0.0,0.0,0.8,205,829,30,Light Heavyweight 205 lb,183.0,193.0,1.0546448087431697,17,0.7647058823529411,2.61,0.45,4.04,0.58,3.42,0.5,0.0,0.83,205
747,Antonina Shevchenko,Lucie Pudilova,Submission,2,"August 03, 2019","Newark, New Jersey, USA",Women's Flyweight Bout,1,1022,37,Flyweight 125 lb,173.0,170.0,0.9826589595375722,13,0.6923076923076923,3.89,0.56,3.05,0.51,0.51,0.5,0.5,0.52,125,658,27,Flyweight 125 lb,173.0,170.0,0.9826589595375722,14,0.5714285714285714,4.15,0.36,4.09,0.52,0.16,0.12,0.6,0.61,125
748,Robbie Lawler,Colby Covington,Decision - Unanimous,5,"August 03, 2019","Newark, New Jersey, USA",Welterweight Bout,0,210,39,Welterweight 170 lb,180.0,188.0,1.0444444444444445,44,0.6590909090909091,3.73,0.46,4.42,0.59,0.66,0.64,0.0,0.65,170,1940,34,Welterweight 170 lb,180.0,183.0,1.0166666666666666,19,0.8421052631578947,4.14,0.38,3.09,0.55,4.1,0.46,0.1,0.72,170
749,Clay Guida,Jim Miller,Submission,1,"August 03, 2019","Newark, New Jersey, USA",Lightweight Bout,0,2359,40,Lightweight 155 lb,170.0,178.0,1.0470588235294118,55,0.6727272727272727,2.53,0.34,2.76,0.62,3.26,0.38,0.7,0.68,155,346,38,Lightweight 155 lb,173.0,180.0,1.0404624277456649,50,0.68,2.78,0.41,2.92,0.59,1.61,0.43,1.8,0.47,155
750,Trevin Giles,Gerald Meerschaert,Submission,3,"August 03, 2019","Newark, New Jersey, USA",Middleweight Bout,0,2450,29,Middleweight 185 lb,183.0,188.0,1.0273224043715847,18,0.7777777777777778,3.09,0.54,2.2,0.59,1.37,0.64,0.5,0.75,185,378,34,Middleweight 185 lb,185.0,196.0,1.0594594594594595,48,0.7083333333333334,3.11,0.44,3.43,0.52,2.42,0.41,2.0,0.35,185
751,Miranda Granger,Hannah Goldy,Decision - Unanimous,3,"August 03, 2019","Newark, New Jersey, USA",Women's Flyweight Bout,1,2392,29,Flyweight 125 lb,170.0,173.0,1.0176470588235291,9,0.7777777777777778,2.91,0.48,2.64,0.59,0.0,0.0,0.0,0.4,125,2438,29,Strawweight 115 lb,163.0,155.0,0.950920245398773,8,0.75,6.05,0.47,4.85,0.5,0.61,0.33,0.3,0.5,115
752,Matt Schnell,Jordan Espinosa,Submission,1,"August 03, 2019","Newark, New Jersey, USA",Flyweight Bout,1,1090,32,Flyweight 125 lb,173.0,178.0,1.0289017341040465,20,0.75,4.23,0.38,4.17,0.59,0.39,0.33,1.0,0.5,125,2218,32,Flyweight 125 lb,168.0,175.0,1.0416666666666667,24,0.625,4.22,0.52,2.94,0.57,0.75,0.28,0.2,0.7,125
753,Lauren Murphy,Mara Romero Borella,KO/TKO,3,"August 03, 2019","Newark, New Jersey, USA",Women's Flyweight Bout,1,249,38,Flyweight 125 lb,165.0,170.0,1.0303030303030305,20,0.75,3.58,0.38,4.35,0.59,1.03,0.34,0.1,0.65,125,989,35,Flyweight 125 lb,168.0,175.0,1.0416666666666667,21,0.5714285714285714,2.54,0.37,2.48,0.71,1.83,0.44,0.2,0.66,125
754,Cole Williams,Claudio Silva,Submission,1,"August 03, 2019","Newark, New Jersey, USA",Welterweight Bout,0,1435,38,Welterweight 170 lb,183.0,185.0,1.010928961748634,14,0.7857142857142857,0.31,0.27,5.34,0.23,0.0,0.0,0.0,0.25,170,969,39,Welterweight 170 lb,180.0,180.0,1.0,17,0.8235294117647058,2.81,0.41,3.0,0.44,2.63,0.25,1.3,0.5,170
755,Salim Touahri,Mickey Gall,Decision - Unanimous,3,"August 03, 2019","Newark, New Jersey, USA",Welterweight Bout,0,1263,32,Welterweight 170 lb,178.0,183.0,1.0280898876404494,14,0.7142857142857143,2.6,0.46,2.87,0.58,0.0,0.0,0.0,0.83,170,2493,30,Welterweight 170 lb,188.0,188.0,1.0,11,0.6363636363636364,2.92,0.46,4.1,0.49,1.08,0.27,2.0,0.36,170
756,SeungWoo Choi,Gavin Tucker,Submission,3,"July 27, 2019","Edmonton, Alberta, Canada",Featherweight Bout,0,2002,29,Featherweight 145 lb,183.0,188.0,1.0273224043715847,14,0.7142857142857143,3.38,0.4,2.91,0.43,0.88,0.57,0.0,0.66,145,1248,35,Featherweight 145 lb,168.0,168.0,1.0,15,0.8666666666666667,4.39,0.45,4.28,0.57,2.98,0.42,1.5,0.53,145
757,Niko Price,Geoff Neal,KO/TKO,2,"July 27, 2019","Edmonton, Alberta, Canada",Welterweight Bout,0,666,32,Welterweight 170 lb,183.0,193.0,1.0546448087431697,20,0.75,5.16,0.42,5.67,0.47,0.79,0.22,0.8,0.65,170,566,31,Welterweight 170 lb,180.0,190.0,1.0555555555555556,18,0.7777777777777778,4.63,0.49,4.91,0.62,0.5,0.5,0.2,0.85,170
758,Hakeem Dawodu,Yoshinori Horie,KO/TKO,3,"July 27, 2019","Edmonton, Alberta, Canada",Featherweight Bout,1,2178,30,Featherweight 145 lb,173.0,185.0,1.069364161849711,16,0.8125,5.39,0.5,2.72,0.59,0.0,0.0,0.0,0.65,145,2527,26,Featherweight 145 lb,173.0,178.0,1.0289017341040465,10,0.8,2.76,0.49,5.65,0.48,0.0,0.0,0.0,0.0,145
759,Krzysztof Jotko,Marc-Andre Barriault,Decision - Split,3,"July 27, 2019","Edmonton, Alberta, Canada",Middleweight Bout,1,2691,32,Middleweight 185 lb,185.0,196.0,1.0594594594594595,28,0.8214285714285714,2.92,0.41,2.24,0.57,1.15,0.34,0.1,0.83,185,1876,32,Middleweight 185 lb,185.0,188.0,1.0162162162162165,18,0.7222222222222222,5.81,0.46,5.06,0.56,0.35,0.25,0.0,0.7,185
760,Felicia Spencer,Cristiane Justino,Decision - Unanimous,3,"July 27, 2019","Edmonton, Alberta, Canada",Women's Featherweight Bout,0,869,31,Featherweight 145 lb,168.0,173.0,1.0297619047619049,12,0.75,3.21,0.48,4.54,0.45,1.18,0.18,0.2,0.27,145,1705,36,Featherweight 145 lb,173.0,173.0,1.0,23,0.9130434782608696,7.28,0.52,2.25,0.64,0.66,0.55,0.4,0.94,145
761,Arman Tsarukyan,Olivier Aubin-Mercier,Decision - Unanimous,3,"July 27, 2019","Edmonton, Alberta, Canada",Lightweight Bout,1,1251,25,Lightweight 155 lb,170.0,183.0,1.076470588235294,19,0.8947368421052632,3.59,0.46,1.4,0.62,3.38,0.34,0.0,0.78,155,1574,33,Lightweight 155 lb,175.0,178.0,1.0171428571428571,16,0.6875,2.48,0.51,2.97,0.55,2.36,0.33,0.5,0.7,155
762,Viviane Araujo,Alexis Davis,Decision - Unanimous,3,"July 27, 2019","Edmonton, Alberta, Canada",Women's Flyweight Bout,1,1596,35,Flyweight 125 lb,163.0,173.0,1.0613496932515338,13,0.7692307692307693,5.14,0.47,5.48,0.59,2.1,0.6,0.3,0.94,125,2181,37,Bantamweight 135 lb,168.0,173.0,1.0297619047619049,32,0.65625,4.63,0.49,4.45,0.54,0.95,0.44,0.7,0.34,135
763,Max Holloway,Frankie Edgar,Decision - Unanimous,5,"July 27, 2019","Edmonton, Alberta, Canada",UFC Featherweight Title Bout,1,2544,30,Featherweight 145 lb,180.0,175.0,0.9722222222222222,29,0.7931034482758621,7.38,0.47,4.69,0.6,0.31,0.66,0.3,0.84,145,2256,40,Bantamweight 135 lb,168.0,173.0,1.0297619047619049,34,0.6764705882352942,3.79,0.4,2.81,0.66,2.3,0.31,0.3,0.65,135
764,Alexandre Pantoja,Deiveson Figueiredo,Decision - Unanimous,3,"July 27, 2019","Edmonton, Alberta, Canada",Flyweight Bout,0,774,31,Flyweight 125 lb,165.0,170.0,1.0303030303030305,29,0.8275862068965517,4.24,0.48,3.34,0.55,1.26,0.38,1.1,0.67,125,2318,34,Flyweight 125 lb,165.0,173.0,1.0484848484848486,24,0.875,3.27,0.55,3.53,0.52,1.48,0.41,1.8,0.58,125
765,Sarah Frota,Gillian Robertson,KO/TKO,2,"July 27, 2019","Edmonton, Alberta, Canada",Women's Flyweight Bout,0,2273,34,Flyweight 125 lb,168.0,175.0,1.0416666666666667,11,0.8181818181818182,4.52,0.52,2.57,0.55,0.0,0.0,0.0,0.53,125,1046,26,Flyweight 125 lb,165.0,160.0,0.9696969696969696,16,0.625,2.23,0.52,2.59,0.51,2.56,0.44,1.1,0.16,125
766,Kyle Stewart,Erik Koch,Decision - Unanimous,3,"July 27, 2019","Edmonton, Alberta, Canada",Welterweight Bout,0,840,33,Welterweight 170 lb,183.0,193.0,1.0546448087431697,14,0.7857142857142857,1.41,0.35,2.42,0.43,1.32,0.2,0.0,0.6,170,48,33,Welterweight 170 lb,178.0,180.0,1.0112359550561798,22,0.7272727272727273,2.33,0.42,2.82,0.47,1.02,0.42,1.0,0.81,170
767,Irene Aldana,Raquel Pennington,Decision - Split,3,"July 20, 2019","San Antonio, Texas, USA",Women's Bantamweight Bout,0,1666,33,Bantamweight 135 lb,175.0,173.0,0.9885714285714284,19,0.6842105263157895,5.61,0.39,5.94,0.6,0.22,0.5,0.1,0.84,135,741,33,Featherweight 145 lb,170.0,170.0,1.0,22,0.5909090909090909,3.66,0.49,3.21,0.62,1.07,0.28,0.7,0.64,145
768,Rafael Dos Anjos,Leon Edwards,Decision - Unanimous,5,"July 20, 2019","San Antonio, Texas, USA",Welterweight Bout,0,2116,37,Lightweight 155 lb,173.0,178.0,1.0289017341040465,43,0.6976744186046512,3.49,0.46,3.22,0.61,1.93,0.37,0.6,0.58,155,2251,30,Welterweight 170 lb,188.0,188.0,1.0,22,0.8636363636363636,2.62,0.49,2.15,0.55,1.48,0.35,0.3,0.7,170
769,Steven Peterson,Alex Caceres,Decision - Unanimous,3,"July 20, 2019","San Antonio, Texas, USA",Featherweight Bout,0,721,31,Featherweight 145 lb,178.0,178.0,1.0,29,0.6551724137931034,5.17,0.41,5.97,0.53,1.61,0.29,0.8,0.64,145,2082,33,Featherweight 145 lb,178.0,185.0,1.0393258426966292,31,0.6129032258064516,4.14,0.51,2.85,0.65,0.55,0.78,0.8,0.64,145
770,Alexander Hernandez,Francisco Trinaldo,Decision - Unanimous,3,"July 20, 2019","San Antonio, Texas, USA",Lightweight Bout,1,2579,29,Lightweight 155 lb,175.0,183.0,1.0457142857142858,18,0.7222222222222222,3.97,0.37,3.94,0.57,1.43,0.33,0.0,0.64,155,1256,43,Welterweight 170 lb,175.0,178.0,1.0171428571428571,35,0.7714285714285715,3.04,0.43,2.62,0.6,1.03,0.44,0.5,0.59,170
771,James Vick,Dan Hooker,KO/TKO,1,"July 20, 2019","San Antonio, Texas, USA",Lightweight Bout,0,1374,35,Lightweight 155 lb,190.0,193.0,1.0157894736842106,18,0.7222222222222222,4.13,0.39,3.31,0.6,0.26,0.33,0.7,0.57,155,2530,32,Featherweight 145 lb,183.0,190.0,1.0382513661202186,32,0.65625,4.9,0.47,4.61,0.52,0.9,0.36,0.2,0.78,145
772,Walt Harris,Aleksei Oleinik,KO/TKO,1,"July 20, 2019","San Antonio, Texas, USA",Heavyweight Bout,1,2619,38,Heavyweight 265 lb,196.0,196.0,1.0,23,0.5652173913043478,3.05,0.39,3.33,0.54,0.29,0.28,0.1,0.7,250,633,44,Heavyweight 265 lb,188.0,203.0,1.0797872340425532,76,0.7763157894736842,3.55,0.5,3.99,0.44,2.16,0.46,2.2,0.33,240
773,Ben Rothwell,Andrei Arlovski,Decision - Unanimous,3,"July 20, 2019","San Antonio, Texas, USA",Heavyweight Bout,0,950,40,Heavyweight 265 lb,193.0,198.0,1.0259067357512954,53,0.7358490566037735,3.71,0.42,4.63,0.47,0.68,0.34,0.4,0.7,265,1592,43,Heavyweight 265 lb,190.0,196.0,1.0315789473684212,53,0.6226415094339622,3.72,0.44,3.09,0.57,0.42,0.36,0.2,0.78,240
774,Juan Adams,Greg Hardy,KO/TKO,1,"July 20, 2019","San Antonio, Texas, USA",Heavyweight Bout,0,1690,30,Heavyweight 265 lb,196.0,203.0,1.0357142857142858,8,0.625,7.09,0.55,4.06,0.34,0.91,0.66,0.0,0.57,265,2623,33,Heavyweight 265 lb,196.0,203.0,1.0357142857142858,11,0.6363636363636364,4.84,0.5,3.22,0.56,0.2,0.33,0.0,0.8,265
775,Jennifer Maia,Roxanne Modafferi,Decision - Unanimous,3,"July 20, 2019","San Antonio, Texas, USA",Women's Flyweight Bout,1,484,33,Flyweight 125 lb,163.0,163.0,1.0,28,0.6785714285714286,3.76,0.37,4.08,0.56,0.25,0.33,0.1,0.56,125,316,39,Flyweight 125 lb,170.0,175.0,1.0294117647058822,46,0.5434782608695652,3.35,0.3,5.7,0.51,1.35,0.23,0.1,0.3,125
776,Klidson Abreu,Sam Alvey,Decision - Unanimous,3,"July 20, 2019","San Antonio, Texas, USA",Light Heavyweight Bout,1,1692,29,Light Heavyweight 205 lb,183.0,188.0,1.0273224043715847,19,0.7894736842105263,2.05,0.4,2.9,0.55,0.64,0.2,0.0,0.8,205,1629,35,Middleweight 185 lb,188.0,190.0,1.0106382978723405,51,0.6470588235294118,3.3,0.44,3.57,0.53,0.07,0.16,0.1,0.82,185
777,Domingo Pilarte,Felipe Colares,Decision - Split,3,"July 20, 2019","San Antonio, Texas, USA",Bantamweight Bout,0,698,32,Bantamweight 135 lb,183.0,185.0,1.010928961748634,11,0.7272727272727273,1.31,0.47,2.96,0.4,1.2,0.42,0.8,0.54,135,1979,27,Bantamweight 135 lb,173.0,175.0,1.0115606936416186,13,0.7692307692307693,2.27,0.42,4.65,0.37,1.8,0.21,0.6,0.43,135
778,Ray Borg,Gabriel Silva,Decision - Unanimous,3,"July 20, 2019","San Antonio, Texas, USA",Bantamweight Bout,1,1796,28,Bantamweight 135 lb,163.0,160.0,0.98159509202454,18,0.7222222222222222,1.52,0.52,1.93,0.48,3.89,0.5,1.0,0.46,135,961,27,Bantamweight 135 lb,168.0,180.0,1.0714285714285714,10,0.8,1.3,0.34,3.47,0.45,1.5,0.25,0.5,0.38,135
779,Jin Soo Son,Mario Bautista,Decision - Unanimous,3,"July 20, 2019","San Antonio, Texas, USA",Bantamweight Bout,0,891,28,Bantamweight 135 lb,168.0,175.0,1.0416666666666667,13,0.6923076923076923,5.1,0.36,7.63,0.52,1.5,0.25,0.0,1.0,135,1864,28,Bantamweight 135 lb,175.0,175.0,1.0,11,0.8181818181818182,5.42,0.48,4.13,0.56,1.63,0.55,0.0,0.66,135
780,Andre Fili,Sheymon Moraes,KO/TKO,1,"July 13, 2019","Sacramento, California, USA",Featherweight Bout,1,2314,31,Featherweight 145 lb,180.0,188.0,1.0444444444444445,29,0.7241379310344828,3.8,0.36,3.86,0.52,2.5,0.5,0.2,0.68,145,294,31,Featherweight 145 lb,173.0,183.0,1.0578034682080926,15,0.7333333333333333,3.0,0.42,3.64,0.63,0.0,0.0,0.0,0.53,145
781,Cezar Ferreira,Marvin Vettori,Decision - Unanimous,3,"July 13, 2019","Sacramento, California, USA",Middleweight Bout,0,2324,37,Middleweight 185 lb,185.0,198.0,1.0702702702702702,21,0.6190476190476191,1.9,0.42,2.44,0.53,2.69,0.53,0.5,0.84,185,1377,28,Light Heavyweight 205 lb,183.0,188.0,1.0273224043715847,24,0.75,4.35,0.45,3.48,0.59,2.04,0.45,0.6,0.76,205
782,Josh Emmett,Mirsad Bektic,KO/TKO,1,"July 13, 2019","Sacramento, California, USA",Featherweight Bout,1,2231,37,Featherweight 145 lb,168.0,178.0,1.0595238095238095,19,0.8947368421052632,4.28,0.39,4.1,0.62,1.25,0.47,0.1,0.58,145,1856,31,Featherweight 145 lb,173.0,178.0,1.0289017341040465,17,0.7647058823529411,2.43,0.41,1.8,0.57,3.98,0.52,0.4,0.92,145
783,Julianna Pena,Nicco Montano,Decision - Unanimous,3,"July 13, 2019","Sacramento, California, USA",Women's Bantamweight Bout,1,748,32,Bantamweight 135 lb,168.0,175.0,1.0416666666666667,16,0.75,3.36,0.49,2.02,0.53,2.43,0.55,0.9,0.22,135,302,33,Bantamweight 135 lb,165.0,165.0,1.0,8,0.625,5.6,0.41,4.43,0.64,2.25,0.54,0.4,0.69,135
784,Urijah Faber,Ricky Simon,KO/TKO,1,"July 13, 2019","Sacramento, California, USA",Bantamweight Bout,1,2344,42,Bantamweight 135 lb,168.0,170.0,1.011904761904762,46,0.7608695652173914,2.65,0.4,2.59,0.64,1.54,0.3,0.8,0.58,135,932,29,Bantamweight 135 lb,168.0,175.0,1.0416666666666667,22,0.8636363636363636,3.04,0.43,3.0,0.64,6.76,0.54,0.4,0.72,135
785,Germaine de Randamie,Aspen Ladd,KO/TKO,1,"July 13, 2019","Sacramento, California, USA",Women's Bantamweight Bout,1,2161,37,Bantamweight 135 lb,175.0,180.0,1.0285714285714285,14,0.7142857142857143,2.72,0.46,2.14,0.65,0.0,0.0,0.4,0.69,135,237,27,Featherweight 145 lb,168.0,168.0,1.0,11,0.8181818181818182,3.64,0.49,3.93,0.49,1.46,0.46,0.7,0.57,145
786,Wellington Turman,Karl Roberson,Decision - Split,3,"July 13, 2019","Sacramento, California, USA",Middleweight Bout,0,1242,25,Middleweight 185 lb,183.0,183.0,1.0,22,0.7727272727272727,3.04,0.47,3.96,0.43,2.22,0.22,0.6,1.0,185,1069,31,Middleweight 185 lb,185.0,188.0,1.0162162162162165,13,0.6923076923076923,2.87,0.51,2.38,0.57,0.92,0.57,0.7,0.45,185
787,Pingyuan Liu,Jonathan Martinez,KO/TKO,3,"July 13, 2019","Sacramento, California, USA",Bantamweight Bout,0,694,29,Bantamweight 135 lb,168.0,183.0,1.0892857142857142,20,0.65,2.36,0.33,2.99,0.54,0.25,0.2,1.0,0.56,135,444,27,Bantamweight 135 lb,173.0,178.0,1.0289017341040465,18,0.7777777777777778,4.53,0.46,3.86,0.58,0.42,0.37,0.0,0.72,135
788,Vince Morales,Benito Lopez,Decision - Unanimous,3,"July 13, 2019","Sacramento, California, USA",Bantamweight Bout,0,288,31,Bantamweight 135 lb,170.0,178.0,1.0470588235294118,16,0.6875,4.62,0.39,4.25,0.54,0.19,0.25,0.0,0.5,135,134,27,Bantamweight 135 lb,178.0,185.0,1.0393258426966292,11,0.9090909090909092,4.49,0.44,4.8,0.58,0.0,0.0,0.3,0.78,135
789,Brianna Van Buren,Livinha Souza,Decision - Unanimous,3,"July 13, 2019","Sacramento, California, USA",Women's Strawweight Bout,1,1404,28,Strawweight 115 lb,152.0,157.0,1.0328947368421053,12,0.75,3.53,0.41,3.23,0.57,2.5,0.45,0.0,0.66,115,875,30,Strawweight 115 lb,160.0,160.0,1.0,18,0.7777777777777778,1.75,0.45,3.6,0.56,2.54,0.45,1.4,0.4,115
790,Darren Elkins,Ryan Hall,Decision - Unanimous,3,"July 13, 2019","Sacramento, California, USA",Featherweight Bout,0,2244,37,Featherweight 145 lb,178.0,180.0,1.0112359550561798,37,0.7297297297297297,3.44,0.38,3.09,0.52,2.65,0.32,1.1,0.56,145,2640,37,Featherweight 145 lb,178.0,178.0,1.0,11,0.8181818181818182,2.38,0.5,1.33,0.65,0.22,0.09,2.2,0.0,145
791,Jorge Masvidal,Ben Askren,KO/TKO,1,"July 06, 2019","Las Vegas, Nevada, USA",Welterweight Bout,1,431,37,Welterweight 170 lb,180.0,188.0,1.0444444444444445,50,0.7,4.22,0.48,3.01,0.65,1.54,0.59,0.3,0.75,170,1580,37,Welterweight 170 lb,180.0,185.0,1.0277777777777777,21,0.9047619047619048,3.64,0.49,5.66,0.36,4.33,0.55,0.9,0.0,170
792,Nohelin Hernandez,Marlon Vera,Submission,2,"July 06, 2019","Las Vegas, Nevada, USA",Bantamweight Bout,0,2577,28,Bantamweight 135 lb,178.0,180.0,1.0112359550561798,13,0.6923076923076923,1.32,0.34,2.63,0.52,0.71,0.5,0.0,0.37,135,1383,29,Bantamweight 135 lb,173.0,178.0,1.0289017341040465,26,0.6923076923076923,4.08,0.51,4.27,0.5,0.82,0.42,1.3,0.69,135
793,Amanda Nunes,Holly Holm,KO/TKO,1,"July 06, 2019","Las Vegas, Nevada, USA",UFC Women's Bantamweight Title Bout,1,522,33,Bantamweight 135 lb,173.0,175.0,1.0115606936416186,26,0.8076923076923077,4.55,0.51,2.81,0.55,2.46,0.54,0.8,0.82,135,2541,40,Bantamweight 135 lb,173.0,175.0,1.0115606936416186,19,0.7368421052631579,3.16,0.38,2.8,0.57,0.81,0.3,0.1,0.76,135
794,Diego Sanchez,Michael Chiesa,Decision - Unanimous,3,"July 06, 2019","Las Vegas, Nevada, USA",Welterweight Bout,0,1209,40,Welterweight 170 lb,178.0,183.0,1.0280898876404494,44,0.7045454545454546,2.69,0.37,3.02,0.56,1.51,0.24,0.8,0.46,170,2009,34,Welterweight 170 lb,185.0,190.0,1.027027027027027,24,0.75,1.88,0.41,1.67,0.54,3.39,0.54,1.0,0.6,170
795,Thiago Santos,Jon Jones,Decision - Split,5,"July 06, 2019","Las Vegas, Nevada, USA",UFC Light Heavyweight Title Bout,0,1166,38,Light Heavyweight 205 lb,188.0,193.0,1.0265957446808511,31,0.7096774193548387,3.95,0.48,2.28,0.56,0.61,0.36,0.1,0.66,205,2706,34,Light Heavyweight 205 lb,193.0,213.0,1.1036269430051813,27,0.9629629629629628,4.3,0.57,2.22,0.64,1.85,0.44,0.4,0.95,205
796,Gilbert Melendez,Arnold Allen,Decision - Unanimous,3,"July 06, 2019","Las Vegas, Nevada, USA",Featherweight Bout,0,373,39,Featherweight 145 lb,175.0,185.0,1.0571428571428572,30,0.7333333333333333,3.44,0.33,2.53,0.63,1.64,0.41,0.2,0.71,145,1651,28,Featherweight 145 lb,173.0,178.0,1.0289017341040465,18,0.9444444444444444,2.96,0.4,2.15,0.66,1.44,0.5,0.4,0.76,145
