name,index,Age,weight_class,height_cm,reach_cm,ape_index,Number_of_fights,win_percentage,O_SLpM,O_StrPct,D_SApM,D_StrPct,O_TdAvg,O_TdAcc,O_SubAvg,D_TdPct,weight
Tyron Woodley,1417,39,Welterweight 170 lb,175.0,188.0,1.0742857142857143,27,0.7037037037037037,2.36,0.48,2.76,0.54,1.06,0.4,0.4,0.87,170
Nathaniel Wood,1418,28,Bantamweight 135 lb,168.0,175.0,1.0416666666666667,22,0.7727272727272727,6.28,0.46,4.36,0.53,1.29,0.46,0.9,0.75,135
Joanne Wood,1419,36,Flyweight 125 lb,168.0,165.0,0.9821428571428571,22,0.6818181818181818,6.71,0.5,4.55,0.52,1.57,0.55,0.4,0.63,125
Brandon Wolff,1420,46,Welterweight 170 lb,175.0,175.0,1.0,12,0.5833333333333334,0.47,0.33,10.91,0.19,0.0,0.0,0.0,0.0,170
Danyelle Wolf,1421,38,Featherweight 145 lb,180.0,178.0,0.9888888888888889,1,1.0,3.4,0.28,5.67,0.44,0.0,0.0,1.0,1.0,145
Travis Wiuff,1422,43,Light Heavyweight 205 lb,190.0,190.0,1.0,96,0.78125,0.48,0.3,4.03,0.41,4.84,0.57,1.2,0.44,205
Jason Witt,1423,35,Welterweight 170 lb,178.0,178.0,1.0,27,0.7037037037037037,2.26,0.47,2.63,0.5,6.89,0.48,1.0,1.0,170
Keith Wisniewski,1424,40,Welterweight 170 lb,183.0,183.0,1.0,44,0.6363636363636364,2.32,0.52,4.86,0.42,1.57,0.4,0.3,0.78,170
Eric Wisely,1425,37,Featherweight 145 lb,173.0,173.0,1.0,36,0.7222222222222222,1.42,0.47,2.08,0.56,0.0,0.0,0.9,0.27,145
Andre Winner,1426,40,Lightweight 155 lb,180.0,185.0,1.0277777777777777,34,0.6176470588235294,2.52,0.33,4.57,0.51,0.0,0.0,0.0,0.74,155
Deron Winn,1427,32,Middleweight 185 lb,168.0,178.0,1.0595238095238095,9,0.7777777777777778,4.74,0.47,5.17,0.5,4.98,0.52,0.0,0.0,185
Eddie Wineland,1428,37,Bantamweight 135 lb,170.0,175.0,1.0294117647058822,40,0.6,3.4,0.29,3.66,0.69,0.34,0.33,0.1,0.86,135
Matt Wiman,1429,38,Lightweight 155 lb,178.0,173.0,0.9719101123595506,26,0.6153846153846154,3.17,0.5,3.57,0.51,2.13,0.37,1.5,0.56,155
Sean Wilson,1430,39,Featherweight 145 lb,173.0,173.0,1.0,65,0.5538461538461539,1.01,0.31,5.88,0.62,0.0,0.0,0.0,0.0,145
Jonathan Wilson,1431,34,Light Heavyweight 205 lb,188.0,190.0,1.0106382978723405,10,0.7,2.92,0.48,5.65,0.56,0.37,1.0,0.0,0.8,205
Chris Wilson,1432,44,Welterweight 170 lb,185.0,190.0,1.027027027027027,28,0.6428571428571429,2.32,0.5,1.36,0.55,1.31,0.5,1.6,0.6,170
Justin Willis,1433,34,Heavyweight 265 lb,185.0,198.0,1.0702702702702702,10,0.8,3.37,0.59,2.57,0.57,0.96,0.66,0.0,0.36,264
Khaos Williams,1434,27,Welterweight 170 lb,183.0,196.0,1.0710382513661203,15,0.8666666666666667,5.0,0.38,3.38,0.49,0.0,0.0,0.0,0.5,170
Cole Williams,1435,38,Welterweight 170 lb,183.0,185.0,1.010928961748634,14,0.7857142857142857,0.31,0.27,5.34,0.23,0.0,0.0,0.0,0.25,170
Jordan Williams,1436,31,Middleweight 185 lb,185.0,190.0,1.027027027027027,15,0.6,5.83,0.5,5.46,0.35,1.11,0.5,0.0,0.85,185
Tim Williams,1437,35,Middleweight 185 lb,188.0,193.0,1.0265957446808511,20,0.75,3.07,0.38,3.55,0.48,1.81,0.4,0.0,1.0,185
Patrick Williams,1438,40,Bantamweight 135 lb,173.0,185.0,1.069364161849711,14,0.5714285714285714,4.12,0.51,4.12,0.52,2.71,0.41,0.5,1.0,135
Rubin Williams,1439,45,Middleweight 185 lb,185.0,185.0,1.0,1,0.0,0.0,0.0,1.39,0.6,0.0,0.0,0.0,0.0,185
Pete Williams,1440,46,Heavyweight 265 lb,190.0,190.0,1.0,18,0.6666666666666666,0.61,0.62,2.77,0.4,1.84,0.4,0.9,0.16,235
James Wilks,1441,43,Welterweight 170 lb,185.0,190.0,1.027027027027027,11,0.6363636363636364,1.82,0.45,2.03,0.5,1.27,0.22,3.8,0.66,170
Rob Wilkinson,1442,30,Middleweight 185 lb,190.0,203.0,1.068421052631579,13,0.8461538461538461,2.74,0.5,5.66,0.39,4.47,0.25,0.0,0.0,185
Mike Wilkinson,1443,34,Featherweight 145 lb,170.0,168.0,0.9882352941176471,13,0.6923076923076923,2.35,0.38,3.7,0.35,0.92,0.14,0.9,0.55,145
Aaron Wilkinson,1444,35,Lightweight 155 lb,178.0,178.0,1.0,18,0.6111111111111112,0.0,0.0,0.0,1.0,7.32,1.0,0.0,0.0,155
Joe Wilk,1445,39,Featherweight 145 lb,175.0,175.0,1.0,30,0.6333333333333333,1.0,0.54,2.0,0.72,0.0,0.0,0.0,0.0,145
Justin Wilcox,1446,42,Lightweight 155 lb,168.0,168.0,1.0,21,0.6666666666666666,3.82,0.28,2.63,0.71,1.43,0.16,0.0,1.0,155
Jonathan Wiezorek,1447,44,Heavyweight 265 lb,190.0,190.0,1.0,13,0.8461538461538461,1.27,0.58,5.47,0.31,1.91,0.2,0.0,0.0,250
Adam Wieczorek,1448,30,Heavyweight 265 lb,196.0,206.0,1.0510204081632653,12,0.8333333333333334,1.68,0.38,1.87,0.48,0.41,0.33,0.4,0.58,250
Robert Whittaker,1449,31,Middleweight 185 lb,183.0,185.0,1.010928961748634,30,0.8,4.45,0.42,3.32,0.6,0.81,0.35,0.0,0.83,185
Emily Whitmire,1450,30,Flyweight 125 lb,165.0,160.0,0.9696969696969697,9,0.4444444444444444,2.5,0.31,2.98,0.54,1.9,0.66,0.5,0.7,125
Garett Whiteley,1451,41,Lightweight 155 lb,183.0,183.0,1.0,10,0.7,3.72,0.48,4.04,0.46,0.0,0.0,0.9,0.27,155
Mike Whitehead,1452,40,Light Heavyweight 205 lb,185.0,185.0,1.0,35,0.7714285714285715,1.62,0.33,2.36,0.59,3.59,0.43,0.3,0.77,205
Robert Whiteford,1453,38,Featherweight 145 lb,175.0,175.0,1.0,18,0.7777777777777778,2.33,0.46,1.99,0.62,1.9,0.3,0.0,0.45,145
Patrik White,1454,28,Lightweight 155 lb,183.0,183.0,1.0,11,0.8181818181818182,9.77,0.49,6.28,0.6,0.0,0.0,0.0,0.5,155
Craig White,1455,31,Welterweight 170 lb,188.0,193.0,1.0265957446808511,23,0.6086956521739131,1.23,0.4,3.28,0.39,0.0,0.0,0.8,0.5,170
Alex White,1456,33,Lightweight 155 lb,183.0,180.0,0.9836065573770492,19,0.6842105263157895,3.76,0.42,3.07,0.6,0.92,0.28,0.5,0.71,155
Vernon White,1457,50,Light Heavyweight 205 lb,183.0,183.0,1.0,61,0.4262295081967213,2.11,0.38,2.2,0.54,0.88,0.28,0.0,0.44,205
Coty Wheeler,1458,43,Bantamweight 135 lb,168.0,170.0,1.0119047619047619,19,0.7368421052631579,1.88,0.22,3.16,0.59,0.87,0.37,2.6,0.33,135
Sheldon Westcott,1459,37,Welterweight 170 lb,185.0,180.0,0.972972972972973,14,0.7142857142857143,2.26,0.4,3.73,0.37,3.23,0.37,0.0,0.14,170
Mike Wessel,1460,44,Heavyweight 265 lb,183.0,183.0,1.0,23,0.6521739130434783,1.82,0.56,6.43,0.22,6.29,0.5,0.0,0.0,260
Fabricio Werdum,1461,44,Heavyweight 265 lb,193.0,196.0,1.0155440414507773,34,0.7058823529411765,3.59,0.52,2.64,0.55,1.75,0.31,1.2,0.31,231
Jeremiah Wells,1462,35,Welterweight 170 lb,175.0,188.0,1.0742857142857143,13,0.7692307692307693,3.55,0.5,1.58,0.2,1.48,0.12,1.5,1.0,170
Christian Wellisch,1463,46,Heavyweight 265 lb,188.0,196.0,1.0425531914893618,13,0.6153846153846154,3.12,0.27,3.04,0.56,1.22,0.42,1.2,0.45,234
Mark Weir,1464,54,Middleweight 185 lb,188.0,188.0,1.0,40,0.525,1.54,0.56,2.5,0.38,0.8,0.5,2.4,0.25,185
Chris Weidman,1465,37,Middleweight 185 lb,188.0,198.0,1.053191489361702,21,0.7142857142857143,3.03,0.43,3.14,0.52,3.92,0.47,0.9,0.65,185
Daniel Weichel,1466,37,Featherweight 145 lb,178.0,178.0,1.0,48,0.8125,5.71,0.42,4.05,0.61,0.84,0.5,0.0,0.83,145
Joshua Weems,1467,27,Bantamweight 135 lb,173.0,175.0,1.0115606936416186,10,0.8,6.92,0.6,5.54,0.61,0.0,0.0,0.0,0.0,135
Darian Weeks,1468,28,Welterweight 170 lb,180.0,183.0,1.0166666666666666,6,0.8333333333333334,7.87,0.56,7.2,0.5,4.0,0.5,0.0,0.0,170
Royston Wee,1469,35,Bantamweight 135 lb,170.0,170.0,1.0,5,0.8,1.1,0.6,2.45,0.49,3.38,0.81,0.0,0.0,135
Jonavin Webb,1470,32,Welterweight 170 lb,178.0,178.0,1.0,11,0.8181818181818182,1.47,0.3,2.27,0.64,2.5,0.31,1.0,0.4,170
Brok Weaver,1471,30,Lightweight 155 lb,183.0,185.0,1.010928961748634,21,0.7142857142857143,4.78,0.64,4.35,0.46,0.41,0.1,0.4,0.66,155
Tom Watson,1472,39,Middleweight 185 lb,185.0,185.0,1.0,26,0.6538461538461539,4.01,0.44,4.41,0.5,0.15,0.07,0.0,0.43,185
Walel Watson,1473,37,Bantamweight 135 lb,180.0,190.0,1.0555555555555556,24,0.5833333333333334,2.1,0.29,3.79,0.43,0.0,0.0,1.4,0.61,135
Maka Watson,1474,37,Lightweight 155 lb,175.0,175.0,1.0,6,0.6666666666666666,0.93,0.37,1.6,0.22,2.0,1.0,0.0,0.33,155
Kyle Watson,1475,42,Lightweight 155 lb,183.0,183.0,1.0,22,0.5909090909090909,3.67,0.35,3.25,0.62,0.0,0.0,0.0,1.0,155
Michelle Waterson,1476,36,Strawweight 115 lb,160.0,157.0,0.98125,27,0.6666666666666666,3.57,0.48,4.13,0.5,1.4,0.32,0.8,0.67,115
Dominic Waters,1477,32,Welterweight 170 lb,185.0,201.0,1.0864864864864865,14,0.6428571428571429,0.48,0.23,2.53,0.39,4.07,0.52,0.0,0.28,170
Ron Waterman,1478,56,Super Heavyweight,188.0,188.0,1.0,24,0.6666666666666666,0.84,0.5,1.37,0.42,4.19,0.69,2.8,0.5,280
Kazuhisa Watanabe,1479,38,Featherweight 145 lb,168.0,168.0,1.0,1,0.0,0.62,0.5,0.94,0.0,0.0,0.0,0.0,0.14,139
Kengo Watanabe,1480,46,Heavyweight 265 lb,193.0,193.0,1.0,24,0.3333333333333333,0.6,0.4,3.4,0.35,1.0,1.0,0.0,0.37,220
Idris Wasi,1481,32,Light Heavyweight 205 lb,183.0,183.0,1.0,16,0.125,0.4,0.31,3.53,0.46,0.0,0.0,0.0,0.2,186
Joe Warren,1482,45,Bantamweight 135 lb,168.0,168.0,1.0,21,0.7142857142857143,2.15,0.46,2.39,0.52,6.14,0.46,0.0,0.6,135
Terrion Ware,1483,35,Bantamweight 135 lb,173.0,180.0,1.0404624277456647,26,0.6538461538461539,4.02,0.32,6.07,0.5,0.5,0.22,0.0,0.44,135
Charlie Ward,1484,41,Welterweight 170 lb,180.0,180.0,1.0,6,0.5,1.64,0.19,7.21,0.53,0.0,0.0,0.0,0.0,170
Brennan Ward,1485,33,Welterweight 170 lb,178.0,180.0,1.0112359550561798,19,0.7368421052631579,7.2,0.6,2.76,0.52,0.0,0.0,3.6,1.0,170
Anying Wang,1486,30,Welterweight 170 lb,183.0,183.0,1.0,3,0.6666666666666666,1.32,0.26,1.63,0.44,0.0,0.0,0.0,0.33,170
Sai Wang,1487,36,Welterweight 170 lb,183.0,183.0,1.0,27,0.7407407407407407,3.17,0.46,2.27,0.53,0.0,0.0,0.0,0.77,170
Andy Wang,1488,44,Lightweight 155 lb,168.0,168.0,1.0,16,0.4375,3.43,0.36,10.29,0.62,0.0,0.0,0.0,0.0,155
Patrick Walsh,1489,33,Middleweight 185 lb,180.0,180.0,1.0,13,0.7692307692307693,2.03,0.19,2.83,0.64,3.0,0.54,1.5,1.0,185
Richard Walsh,1490,33,Welterweight 170 lb,183.0,185.0,1.010928961748634,14,0.6428571428571429,3.84,0.46,2.72,0.58,1.55,0.4,0.2,0.66,170
Jim Wallhead,1491,37,Welterweight 170 lb,178.0,178.0,1.0,40,0.725,3.19,0.26,6.65,0.49,0.0,0.0,0.0,1.0,170
James Wallace,1492,29,Lightweight 155 lb,178.0,175.0,0.9831460674157303,7,0.7142857142857143,0.52,0.28,3.41,0.35,0.0,0.0,0.0,0.0,155
Randall Wallace,1493,33,Middleweight 185 lb,180.0,185.0,1.0277777777777777,21,0.7142857142857143,1.13,0.38,4.11,0.45,2.13,0.5,0.0,0.0,185
Rodney Wallace,1494,40,Light Heavyweight 205 lb,175.0,183.0,1.0457142857142858,42,0.6190476190476191,1.13,0.46,3.44,0.45,6.0,0.54,1.0,0.28,205
Crafton Wallace,1495,46,Middleweight 185 lb,183.0,183.0,1.0,25,0.72,1.55,0.44,2.36,0.47,0.0,0.0,0.0,0.42,185
Ben Wall,1496,32,Lightweight 155 lb,178.0,178.0,1.0,16,0.5,1.47,0.29,8.53,0.29,0.0,0.0,0.0,1.0,155
Johnny Walker,1497,29,Light Heavyweight 205 lb,198.0,208.0,1.0505050505050506,25,0.72,3.45,0.58,2.78,0.42,0.23,1.0,0.7,0.62,205
Donny Walker,1498,42,Bantamweight 135 lb,175.0,175.0,1.0,25,0.6,1.81,0.37,3.85,0.46,0.0,0.0,1.7,0.57,135
Herschel Walker,1499,60,Heavyweight 265 lb,185.0,185.0,1.0,2,1.0,3.42,0.67,0.45,0.46,1.94,1.0,0.0,1.0,215
Chase Waldon,1500,35,Middleweight 185 lb,185.0,190.0,1.027027027027027,13,0.8461538461538461,1.03,0.28,6.72,0.38,7.76,0.33,0.0,0.0,185
TJ Waldburger,1501,33,Welterweight 170 lb,180.0,190.0,1.0555555555555556,25,0.64,2.02,0.51,2.39,0.4,3.03,0.46,4.8,0.4,170
Chris Wade,1502,34,Lightweight 155 lb,178.0,178.0,1.0,15,0.8,1.7,0.53,1.75,0.51,2.6,0.51,1.1,0.55,155
Xiao Long,1503,23,Bantamweight 135 lb,173.0,168.0,0.9710982658959537,23,0.6956521739130435,5.2,0.4,5.07,0.58,0.0,0.0,0.0,0.0,135
Sodiq Yusuff,1504,28,Featherweight 145 lb,175.0,180.0,1.0285714285714285,13,0.8461538461538461,5.43,0.48,3.46,0.58,0.0,0.0,0.5,0.68,145
Rob Yundt,1505,41,Middleweight 185 lb,185.0,185.0,1.0,14,0.6428571428571429,1.37,0.41,2.55,0.31,2.94,1.0,0.0,0.0,185
Besam Yousef,1506,36,Welterweight 170 lb,180.0,180.0,1.0,11,0.6363636363636364,3.14,0.53,3.98,0.38,1.33,0.66,0.0,0.5,170
Shanna Young,1507,31,Bantamweight 135 lb,170.0,165.0,0.9705882352941176,13,0.6153846153846154,3.04,0.53,4.95,0.43,0.0,0.0,1.0,0.53,135
Shane Young,1508,28,Featherweight 145 lb,173.0,183.0,1.0578034682080926,19,0.6842105263157895,5.22,0.4,5.01,0.55,0.8,0.23,0.0,0.56,145
Jason Young,1509,35,Featherweight 145 lb,175.0,185.0,1.0571428571428572,15,0.6,2.97,0.37,3.2,0.5,1.98,0.66,0.0,0.55,145
Trenell Young,1510,45,Featherweight 145 lb,168.0,168.0,1.0,20,0.55,1.43,0.22,5.13,0.5,1.13,0.2,1.1,0.0,145
Kaitlin Young,1511,36,Bantamweight 135 lb,175.0,175.0,1.0,17,0.4117647058823529,2.83,0.26,6.33,0.51,2.5,1.0,0.0,0.0,135
Hidehiko Yoshida,1512,52,Heavyweight 265 lb,180.0,180.0,1.0,15,0.4,1.05,0.36,1.89,0.62,1.09,0.33,2.2,0.71,225
Yoshiyuki Yoshida,1513,47,Welterweight 170 lb,180.0,178.0,0.9888888888888889,27,0.6666666666666666,0.85,0.36,3.67,0.36,1.41,0.28,2.8,0.25,170
Dong Sik Yoon,1514,49,Middleweight 185 lb,183.0,183.0,1.0,18,0.5,0.99,0.36,2.33,0.51,1.6,0.29,1.3,0.33,185
Sanghoon Yoo,1515,32,Lightweight 155 lb,183.0,188.0,1.0273224043715847,6,0.8333333333333334,5.0,0.66,7.27,0.27,1.0,1.0,1.0,0.75,155
Kazunori Yokota,1516,43,Lightweight 155 lb,173.0,173.0,1.0,35,0.7142857142857143,0.67,0.31,1.13,0.57,0.0,0.0,0.0,0.0,154
Hirotaka Yokoi,1517,43,Light Heavyweight 205 lb,180.0,180.0,1.0,16,0.6875,1.52,0.33,3.42,0.38,1.87,0.41,0.4,0.66,205
Ashley Yoder,1518,34,Strawweight 115 lb,170.0,175.0,1.0294117647058822,16,0.5,3.08,0.39,3.76,0.47,1.2,0.3,0.6,0.69,115
Yoshiaki Yatsu,1519,65,Welterweight 170 lb,185.0,185.0,1.0,2,0.0,0.0,0.0,5.57,0.48,0.0,0.0,0.0,0.0,165
Tadao Yasuda,1520,58,Super Heavyweight,193.0,193.0,1.0,6,0.3333333333333333,2.7,0.73,0.85,0.6,0.75,0.14,0.0,0.0,310
Cale Yarbrough,1521,35,Middleweight 185 lb,185.0,185.0,1.0,11,0.7272727272727273,3.16,0.27,10.0,0.72,0.0,0.0,0.0,0.0,185
Jianping Yang,1522,33,Featherweight 145 lb,170.0,170.0,1.0,16,0.6875,1.4,0.26,2.07,0.65,1.0,0.25,0.0,0.33,145
Dongi Yang,1523,37,Middleweight 185 lb,178.0,185.0,1.0393258426966292,16,0.8125,3.55,0.51,3.21,0.63,1.7,0.41,0.5,0.61,185
Adrian Yanez,1524,28,Bantamweight 135 lb,170.0,178.0,1.0470588235294118,18,0.8333333333333334,6.35,0.39,5.52,0.6,0.0,0.0,0.0,1.0,135
Adam Yandiev,1525,33,Middleweight 185 lb,175.0,188.0,1.0742857142857143,10,0.9,0.18,0.08,6.14,0.36,0.0,0.0,0.0,0.25,185
Yan Qihui,1526,25,Flyweight 125 lb,160.0,157.0,0.98125,15,0.7333333333333333,4.01,0.6,1.78,0.72,4.46,1.0,0.0,1.0,125
Petr Yan,1527,29,Bantamweight 135 lb,170.0,170.0,1.0,18,0.8888888888888888,5.98,0.52,4.14,0.62,1.75,0.61,0.2,0.89,135
Yan Xiaonan,1528,32,Strawweight 115 lb,165.0,160.0,0.9696969696969697,15,0.8666666666666667,5.95,0.42,3.61,0.61,0.92,0.75,0.0,0.65,115
Goiti Yamauchi,1529,29,Featherweight 145 lb,178.0,178.0,1.0,24,0.875,1.66,0.54,1.01,0.66,0.0,0.0,4.3,0.0,145
Hiroko Yamanaka,1530,43,Bantamweight 135 lb,180.0,180.0,1.0,16,0.8125,2.1,0.26,3.54,0.63,0.0,0.0,0.0,1.0,135
Norifumi Yamamoto,1531,44,Bantamweight 135 lb,163.0,168.0,1.030674846625767,24,0.75,2.09,0.45,2.01,0.57,0.41,0.22,0.0,0.45,135
Atsushi Yamamoto,1532,41,Featherweight 145 lb,168.0,168.0,1.0,33,0.5757575757575758,1.97,0.39,1.27,0.7,1.12,0.33,0.0,1.0,139
Yoshihisa Yamamoto,1533,51,Heavyweight 265 lb,188.0,188.0,1.0,40,0.35,1.65,0.38,3.05,0.53,1.0,0.2,0.6,0.5,220
Kenichi Yamamoto,1534,45,Welterweight 170 lb,183.0,183.0,1.0,19,0.2631578947368421,0.3,0.46,1.93,0.38,0.0,0.0,0.3,0.1,170
Alexander Yakovlev,1535,37,Lightweight 155 lb,190.0,188.0,0.9894736842105263,35,0.6857142857142857,1.74,0.47,2.41,0.58,1.66,0.35,0.1,0.72,155
Rani Yahya,1536,37,Bantamweight 135 lb,168.0,170.0,1.0119047619047619,39,0.717948717948718,1.58,0.38,1.76,0.5,2.9,0.33,1.9,0.24,135
Eddie Yagin,1537,42,Featherweight 145 lb,170.0,170.0,1.0,24,0.6666666666666666,3.13,0.3,5.77,0.42,0.0,0.0,1.0,0.62,145
Jamie Yager,1538,38,Middleweight 185 lb,185.0,185.0,1.0,12,0.6666666666666666,3.08,0.39,2.55,0.63,0.0,0.0,0.0,0.66,185
Allan Zuniga,1539,29,Lightweight 155 lb,170.0,178.0,1.0470588235294118,14,0.9285714285714286,3.93,0.52,1.8,0.61,0.0,0.0,1.0,0.57,155
Cat Zingano,1540,39,Featherweight 145 lb,168.0,173.0,1.0297619047619047,14,0.7142857142857143,2.57,0.61,1.63,0.47,2.77,0.65,0.8,0.42,145
Errol Zimmerman,1541,35,Middleweight 185 lb,190.0,190.0,1.0,1,0.0,2.95,0.42,0.0,0.0,0.0,0.0,0.0,0.0,185
James Zikic,1542,45,Light Heavyweight 205 lb,188.0,188.0,1.0,33,0.6363636363636364,1.47,0.35,1.6,0.44,0.5,0.25,0.5,0.74,205
Fares Ziam,1543,24,Lightweight 155 lb,185.0,190.0,1.027027027027027,15,0.8,2.13,0.39,1.67,0.65,0.33,0.11,0.0,0.68,155
Zhalgas Zhumagulov,1544,33,Flyweight 125 lb,163.0,168.0,1.030674846625767,20,0.7,4.6,0.46,5.1,0.54,1.25,0.21,0.4,0.5,125
Yao Zhikui,1545,31,Flyweight 125 lb,165.0,163.0,0.9878787878787879,6,0.3333333333333333,1.44,0.21,2.82,0.48,0.66,0.16,0.0,0.58,125
Zhang Weili,1546,32,Strawweight 115 lb,163.0,160.0,0.9815950920245399,24,0.875,5.47,0.45,4.13,0.52,1.75,0.31,0.3,0.6,115
Zhang Lipeng,1547,31,Lightweight 155 lb,180.0,180.0,1.0,33,0.696969696969697,1.28,0.48,1.88,0.53,1.75,0.3,0.8,0.69,155
Zhang Tiequan,1548,43,Lightweight 155 lb,173.0,175.0,1.0115606936416186,19,0.7894736842105263,1.23,0.36,2.14,0.51,1.95,0.58,3.4,0.75,155
Roman Zentsov,1549,48,Heavyweight 265 lb,185.0,185.0,1.0,30,0.6,1.18,0.36,0.53,0.7,1.6,1.0,3.2,0.33,230
Craig Zellner,1550,45,Light Heavyweight 205 lb,188.0,188.0,1.0,7,0.5714285714285714,0.61,0.09,4.65,0.61,0.0,0.0,0.0,0.0,205
Daniel Zellhuber,1551,22,Lightweight 155 lb,185.0,196.0,1.0594594594594595,11,1.0,7.67,0.52,6.4,0.53,1.0,0.5,0.0,0.0,155
Joao Zeferino,1552,36,Welterweight 170 lb,180.0,180.0,1.0,30,0.7,0.83,0.36,2.6,0.48,0.5,0.05,1.0,0.5,170
David Zawada,1553,31,Welterweight 170 lb,183.0,190.0,1.0382513661202186,24,0.7083333333333334,3.84,0.41,4.54,0.55,0.97,0.33,1.7,0.57,170
Marius Zaromskis,1554,41,Welterweight 170 lb,175.0,175.0,1.0,29,0.6896551724137931,5.02,0.34,5.93,0.5,0.73,0.42,0.0,0.73,170
Roger Zapata,1555,35,Welterweight 170 lb,180.0,180.0,1.0,6,0.6666666666666666,2.6,0.51,2.13,0.36,0.0,0.0,1.4,0.81,170
Zach Zane,1556,32,Featherweight 145 lb,170.0,175.0,1.0294117647058822,17,0.5882352941176471,0.87,0.56,6.67,0.2,0.0,0.0,0.0,0.26,145
Elizeu Zaleski dos Santos,1557,35,Welterweight 170 lb,180.0,185.0,1.0277777777777777,30,0.7666666666666667,4.65,0.42,3.22,0.58,0.52,0.15,0.4,0.62,170
Youssef Zalal,1558,25,Featherweight 145 lb,178.0,183.0,1.0280898876404494,15,0.6666666666666666,2.51,0.5,1.74,0.64,2.33,0.29,1.2,0.56,145
Aiemann Zahabi,1559,34,Bantamweight 135 lb,173.0,173.0,1.0,10,0.8,2.82,0.4,3.91,0.65,0.33,0.16,0.0,0.72,135
Anton Zafir,1560,34,Welterweight 170 lb,180.0,180.0,1.0,10,0.7,2.99,0.64,2.31,0.52,6.11,0.6,0.0,0.0,170
Luke Zachrich,1561,40,Middleweight 185 lb,188.0,188.0,1.0,18,0.7777777777777778,4.56,0.32,4.46,0.62,0.74,0.33,0.0,0.8,185
Luciano Azevedo,1562,40,Welterweight 170 lb,190.0,190.0,1.0,27,0.6296296296296297,0.76,0.45,1.97,0.27,2.28,0.11,0.0,0.0,161
Luiz Azeredo,1563,45,Lightweight 155 lb,175.0,175.0,1.0,25,0.6,2.16,0.39,2.76,0.57,1.07,0.5,0.3,0.45,154
Ottman Azaitar,1564,32,Lightweight 155 lb,173.0,180.0,1.0404624277456647,13,1.0,8.43,0.57,1.76,0.67,0.0,0.0,0.0,1.0,155
Abu Azaitar,1565,35,Middleweight 185 lb,175.0,193.0,1.1028571428571428,18,0.7777777777777778,5.21,0.44,5.35,0.5,0.5,0.25,0.0,0.4,185
Jessin Ayari,1566,29,Lightweight 155 lb,183.0,185.0,1.010928961748634,22,0.7272727272727273,3.53,0.37,3.59,0.58,0.0,0.0,0.3,0.5,155
Javy Ayala,1567,33,Heavyweight 265 lb,185.0,185.0,1.0,15,0.6666666666666666,0.83,0.25,5.0,0.33,0.0,0.0,0.0,0.0,265
Saad Awad,1568,38,Lightweight 155 lb,180.0,180.0,1.0,29,0.6896551724137931,2.13,0.26,1.87,0.6,0.5,0.16,0.5,1.0,155
Julia Avila,1569,33,Bantamweight 135 lb,170.0,173.0,1.0176470588235293,11,0.8181818181818182,3.18,0.44,2.86,0.55,0.67,0.33,0.3,0.61,135
Chris Avila,1570,29,Featherweight 145 lb,178.0,178.0,1.0,9,0.5555555555555556,2.37,0.3,4.17,0.48,0.0,0.0,0.0,0.46,145
Blas Avena,1571,38,Welterweight 170 lb,183.0,188.0,1.0273224043715847,15,0.5333333333333333,2.34,0.47,3.36,0.43,2.37,0.8,1.8,0.5,170
Marcus Aurelio,1572,48,Lightweight 155 lb,178.0,188.0,1.0561797752808988,32,0.6875,1.42,0.33,2.27,0.59,1.69,0.27,1.3,0.27,155
Pat Audinwood,1573,35,Lightweight 155 lb,183.0,183.0,1.0,14,0.7857142857142857,1.17,0.12,4.31,0.41,0.8,0.5,0.0,0.0,155
Olivier Aubin-Mercier,1574,33,Lightweight 155 lb,175.0,178.0,1.0171428571428571,16,0.6875,2.48,0.51,2.97,0.55,2.36,0.33,0.5,0.7,155
Rich Attonito,1575,44,Welterweight 170 lb,178.0,183.0,1.0280898876404494,15,0.6666666666666666,2.28,0.47,2.13,0.59,0.74,0.37,0.0,0.75,170
Raphael Assuncao,1576,39,Bantamweight 135 lb,165.0,168.0,1.018181818181818,36,0.75,3.2,0.4,2.34,0.68,1.44,0.38,0.3,0.77,135
Junior Assuncao,1577,40,Featherweight 145 lb,175.0,183.0,1.0457142857142858,22,0.7272727272727273,3.31,0.62,2.06,0.44,2.43,0.24,0.7,0.66,145
Bruno Assis,1578,29,Middleweight 185 lb,188.0,188.0,1.0,12,0.6666666666666666,1.27,0.43,3.2,0.36,2.0,0.5,1.0,0.66,185
Tom Aspinall,1579,28,Heavyweight 265 lb,196.0,198.0,1.010204081632653,13,0.8461538461538461,7.19,0.65,2.37,0.7,2.73,1.0,1.4,1.0,256
Ben Askren,1580,37,Welterweight 170 lb,180.0,185.0,1.0277777777777777,21,0.9047619047619048,3.64,0.49,5.66,0.36,4.33,0.55,0.9,0.0,170
Scott Askham,1581,33,Middleweight 185 lb,190.0,190.0,1.0,18,0.7777777777777778,3.03,0.46,3.52,0.52,0.44,0.18,0.7,0.65,185
Cyril Asker,1582,36,Heavyweight 265 lb,183.0,188.0,1.0273224043715847,13,0.6923076923076923,3.35,0.39,5.82,0.35,4.41,0.62,0.9,1.0,247
Askar Askarov,1583,29,Flyweight 125 lb,168.0,170.0,1.0119047619047619,14,0.9285714285714286,3.37,0.55,2.65,0.56,2.75,0.28,0.0,0.64,125
