name,index,Age,weight_class,height_cm,reach_cm,ape_index,Number_of_fights,win_percentage,O_SLpM,O_StrPct,D_SApM,D_StrPct,O_TdAvg,O_TdAcc,O_SubAvg,D_TdPct,weight
Nick Roehrick,1002,34,Light Heavyweight 205 lb,188.0,188.0,1.0,8,0.875,2.31,0.17,6.92,0.44,0.0,0.0,0.0,0.0,205
Pete Rodriguez,1003,25,Welterweight 170 lb,175.0,180.0,1.0285714285714285,5,0.8,8.38,0.36,14.41,0.46,0.0,0.0,0.0,0.0,170
Christian Rodriguez,1004,24,Featherweight 145 lb,170.0,180.0,1.0588235294117647,8,0.875,3.47,0.41,2.17,0.6,1.0,1.0,1.5,0.6,145
Piera Rodriguez,1005,29,Strawweight 115 lb,160.0,160.0,1.0,7,1.0,2.87,0.35,2.4,0.67,3.0,0.23,0.0,0.0,115
Victor Rodriguez,1006,29,Flyweight 125 lb,165.0,170.0,1.0303030303030303,11,0.6363636363636364,1.59,0.37,6.11,0.5,0.0,0.0,0.0,0.0,125
Sam Sicilia,1007,36,Featherweight 145 lb,173.0,170.0,0.9826589595375722,23,0.6521739130434783,2.46,0.33,3.55,0.59,1.45,0.43,0.9,0.7,145
Drako Rodriguez,1008,25,Bantamweight 135 lb,173.0,175.0,1.0115606936416186,10,0.7,3.37,0.36,4.4,0.58,2.93,0.66,0.7,0.75,135
Brandon Shuey,1009,46,Lightweight 155 lb,170.0,170.0,1.0,13,0.5384615384615384,0.68,0.33,1.36,0.0,0.0,0.0,10.2,0.0,155
Jack Shore,1010,27,Bantamweight 135 lb,173.0,180.0,1.0404624277456647,15,1.0,4.03,0.58,1.51,0.65,4.47,0.41,0.9,1.0,135
Liudvik Sholinian,1011,32,Bantamweight 135 lb,178.0,180.0,1.0112359550561798,13,0.6923076923076923,1.27,0.2,6.13,0.4,0.0,0.0,0.0,0.75,135
Akira Shoji,1012,48,Light Heavyweight 205 lb,173.0,173.0,1.0,36,0.3888888888888889,1.03,0.34,2.63,0.53,1.79,0.73,0.4,0.82,195
Josh Shockman,1013,41,Heavyweight 265 lb,193.0,193.0,1.0,9,0.6666666666666666,0.87,0.32,0.87,0.58,0.0,0.0,0.0,0.23,235
Josh Shockley,1014,32,Lightweight 155 lb,185.0,185.0,1.0,15,0.7333333333333333,1.4,0.33,1.75,0.6,0.0,0.0,0.8,0.61,155
Alexander Shlemenko,1015,37,Middleweight 185 lb,180.0,180.0,1.0,65,0.8615384615384616,4.36,0.6,1.71,0.63,0.0,0.0,0.0,0.0,185
Yuya Shirai,1016,41,Welterweight 170 lb,173.0,173.0,1.0,42,0.6190476190476191,1.02,1.0,4.07,0.55,0.0,0.0,0.0,0.0,168
Wade Shipp,1017,47,Heavyweight 265 lb,190.0,190.0,1.0,16,0.6875,4.29,0.86,2.14,0.0,0.0,0.0,0.0,0.75,245
Shunichi Shimizu,1018,37,Bantamweight 135 lb,165.0,165.0,1.0,59,0.5084745762711864,0.14,0.33,4.68,0.3,0.0,0.0,0.0,0.0,135
Henrique Shiguemoto,1019,32,Middleweight 185 lb,180.0,183.0,1.0166666666666666,18,0.7222222222222222,3.6,0.33,6.0,0.16,0.0,0.0,0.0,0.5,185
Jake Shields,1020,43,Welterweight 170 lb,183.0,183.0,1.0,41,0.7560975609756098,2.45,0.36,1.8,0.56,2.83,0.29,1.2,0.35,170
Katsuyori Shibata,1021,42,Welterweight 170 lb,183.0,183.0,1.0,16,0.25,2.06,0.35,2.4,0.53,0.49,0.5,0.7,0.53,168
Antonina Shevchenko,1022,37,Flyweight 125 lb,173.0,170.0,0.9826589595375722,13,0.6923076923076923,3.89,0.56,3.05,0.51,0.51,0.5,0.5,0.52,125
Valentina Shevchenko,1023,34,Flyweight 125 lb,165.0,168.0,1.018181818181818,25,0.88,3.21,0.52,1.87,0.64,2.62,0.64,0.3,0.77,125
Chase Sherman,1024,32,Heavyweight 265 lb,193.0,198.0,1.0259067357512954,24,0.625,6.19,0.45,6.37,0.51,0.0,0.0,0.0,0.77,250
Sean Sherk,1025,48,Lightweight 155 lb,168.0,170.0,1.0119047619047619,41,0.8780487804878049,2.17,0.35,2.71,0.55,4.09,0.46,0.4,0.56,155
Eric Shelton,1026,31,Flyweight 125 lb,168.0,173.0,1.0297619047619047,18,0.6666666666666666,2.57,0.42,1.88,0.63,2.83,0.51,0.2,0.46,125
Shang Zhifa,1027,35,Flyweight 125 lb,170.0,160.0,0.9411764705882353,40,0.8,1.27,0.32,1.27,0.6,2.0,1.0,0.0,0.0,125
Frank Shamrock,1028,49,Middleweight 185 lb,178.0,178.0,1.0,35,0.6571428571428571,4.75,0.53,4.66,0.57,0.35,0.5,1.1,0.37,185
Ken Shamrock,1029,58,Light Heavyweight 205 lb,185.0,183.0,0.9891891891891892,47,0.5957446808510638,1.47,0.46,4.3,0.39,0.94,0.6,2.5,0.44,205
Kamal Shalorus,1030,49,Lightweight 155 lb,173.0,173.0,1.0,16,0.5625,3.06,0.32,2.99,0.7,2.07,0.5,0.0,0.8,155
Luis Rodriguez,1031,22,Flyweight 125 lb,168.0,165.0,0.9821428571428571,13,0.8461538461538461,1.27,0.37,3.2,0.54,2.0,0.5,2.0,1.0,125
Ray Rodriguez,1032,34,Bantamweight 135 lb,170.0,178.0,1.0470588235294118,24,0.6666666666666666,0.9,0.27,3.89,0.4,1.42,0.5,0.0,0.44,135
Daniel Rodriguez,1033,35,Welterweight 170 lb,185.0,188.0,1.0162162162162163,18,0.8888888888888888,8.06,0.5,5.38,0.57,0.84,0.55,0.2,0.76,170
Marina Rodriguez,1034,34,Strawweight 115 lb,168.0,165.0,0.9821428571428571,18,0.8333333333333334,5.05,0.49,3.0,0.57,0.22,0.33,0.2,0.67,115
Mike Rodriguez,1035,33,Light Heavyweight 205 lb,193.0,208.0,1.077720207253886,18,0.6111111111111112,4.35,0.53,4.24,0.41,0.0,0.0,0.0,0.37,205
Yair Rodriguez,1036,29,Featherweight 145 lb,180.0,180.0,1.0,17,0.8235294117647058,4.65,0.45,4.09,0.53,0.86,0.28,0.8,0.6,145
Manuel Rodriguez,1037,36,Welterweight 170 lb,175.0,175.0,1.0,16,0.6875,0.81,0.33,3.23,0.38,9.09,0.75,0.0,0.0,170
Ricco Rodriguez,1038,44,Heavyweight 265 lb,193.0,193.0,1.0,78,0.6794871794871795,1.85,0.51,1.15,0.61,2.3,0.39,1.0,0.4,265
Kleydson Rodrigues,1039,26,Flyweight 125 lb,168.0,170.0,1.0119047619047619,8,0.875,6.07,0.65,1.4,0.6,0.0,0.0,1.0,0.66,125
Gregory Rodrigues,1040,30,Middleweight 185 lb,190.0,190.0,1.0,14,0.7857142857142857,5.99,0.57,4.35,0.58,2.94,0.5,0.0,1.0,185
Luke Rockhold,1041,37,Light Heavyweight 205 lb,190.0,196.0,1.0315789473684212,21,0.7619047619047619,4.18,0.48,2.43,0.56,0.67,0.3,1.1,0.68,205
Carlos Eduardo Rocha,1042,40,Welterweight 170 lb,178.0,185.0,1.0393258426966292,13,0.6923076923076923,1.24,0.34,1.85,0.55,0.0,0.0,1.4,0.52,170
Vagner Rocha,1043,39,Lightweight 155 lb,178.0,185.0,1.0393258426966292,18,0.7777777777777778,2.64,0.42,4.5,0.48,1.4,0.33,1.9,0.5,155
Alvin Robinson,1044,39,Lightweight 155 lb,175.0,173.0,0.9885714285714285,24,0.625,1.57,0.5,1.29,0.51,1.24,0.5,1.2,0.25,155
Colin Robinson,1045,53,Heavyweight 265 lb,193.0,193.0,1.0,22,0.45454545454545453,6.19,0.69,7.91,0.37,2.58,1.0,5.2,0.5,243
Gillian Robertson,1046,26,Flyweight 125 lb,165.0,160.0,0.9696969696969697,16,0.625,2.23,0.52,2.59,0.51,2.56,0.44,1.1,0.16,125
Kenny Robertson,1047,38,Welterweight 170 lb,178.0,188.0,1.0561797752808988,20,0.75,3.72,0.47,3.02,0.52,1.37,0.26,0.8,0.57,170
Roosevelt Roberts,1048,28,Lightweight 155 lb,188.0,185.0,0.9840425531914894,13,0.7692307692307693,3.14,0.44,3.12,0.53,1.44,0.29,0.9,0.58,155
Danny Roberts,1049,34,Welterweight 170 lb,185.0,188.0,1.0162162162162163,23,0.782608695652174,3.24,0.43,3.01,0.54,0.3,0.11,0.3,0.56,170
Liliya Shakirova,1050,30,Flyweight 125 lb,163.0,165.0,1.0122699386503067,10,0.8,2.7,0.3,2.58,0.74,0.0,0.0,0.0,0.0,125
Leon Shahbazyan,1051,26,Welterweight 170 lb,193.0,188.0,0.9740932642487047,9,0.7777777777777778,6.33,0.52,8.18,0.32,1.46,0.5,0.0,0.0,170
Edmen Shahbazyan,1052,24,Middleweight 185 lb,188.0,188.0,1.0,14,0.7857142857142857,3.24,0.5,4.13,0.46,2.71,0.37,0.5,0.57,185
Rosi Sexton,1053,44,Bantamweight 135 lb,160.0,160.0,1.0,18,0.7222222222222222,3.31,0.39,7.42,0.41,0.75,0.1,0.0,0.8,135
Fredy Serrano,1054,42,Flyweight 125 lb,160.0,165.0,1.03125,5,0.6,1.58,0.26,1.89,0.61,2.84,0.25,0.0,0.84,125
Nick Serra,1055,43,Welterweight 170 lb,175.0,175.0,1.0,10,0.7,0.0,0.0,1.73,0.43,1.0,0.1,2.0,0.0,170
Matt Serra,1056,47,Welterweight 170 lb,168.0,173.0,1.0297619047619047,18,0.6111111111111112,1.98,0.39,2.64,0.46,2.05,0.2,0.9,0.38,170
Alex Serdyukov,1057,41,Welterweight 170 lb,188.0,188.0,1.0,13,0.6153846153846154,4.94,0.48,3.1,0.46,1.84,0.55,1.8,0.67,170
Mackens Semerzier,1058,41,Featherweight 145 lb,175.0,183.0,1.0457142857142858,12,0.6666666666666666,2.91,0.45,3.48,0.46,2.14,0.5,2.1,0.5,145
Andrei Semenov,1059,44,Middleweight 185 lb,183.0,183.0,1.0,45,0.7555555555555555,0.78,0.15,2.44,0.6,1.74,0.8,0.4,0.55,185
Matthew Semelsberger,1060,29,Welterweight 170 lb,185.0,190.0,1.027027027027027,12,0.75,6.16,0.48,5.67,0.61,0.98,1.0,0.5,1.0,170
Pete Sell,1061,39,Welterweight 170 lb,180.0,190.0,1.0555555555555556,17,0.5882352941176471,2.6,0.42,3.65,0.51,0.91,0.21,0.9,0.47,170
Stefan Sekulic,1062,30,Welterweight 170 lb,183.0,190.0,1.0382513661202186,16,0.75,1.83,0.5,2.83,0.64,2.0,0.33,0.5,0.25,170
Brendan Seguin,1063,45,Middleweight 185 lb,183.0,183.0,1.0,43,0.5348837209302325,2.6,0.45,0.6,0.84,5.0,0.62,0.0,1.0,185
Ray Sefo,1064,51,Heavyweight 265 lb,183.0,183.0,1.0,4,0.5,0.86,0.31,1.71,0.72,0.0,0.0,0.0,0.66,240
